Player,Span,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,100,50,0,4s,6s,Country
V Kohli ,2010-2024,117,109,31,4037,122*,51.75,2922,138.15,1,37,5,361,117,IND
RG Sharma ,2007-2024,151,143,18,3974,121*,31.79,2839,139.97,5,29,12,359,190,IND
Babar Azam ,2016-2024,109,103,14,3698,122,41.55,2864,129.12,3,33,5,395,59,PAK
MJ Guptill ,2009-2022,122,118,7,3531,105,31.81,2602,135.70,2,20,3,309,173,NZ
PR Stirling ,2009-2023,134,133,11,3438,115*,28.18,2533,135.72,1,23,13,399,123,IRE
AJ Finch ,2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125,AUS
Mohammad Rizwan ,2015-2024,90,78,17,2981,104*,48.86,2337,127.55,1,26,3,255,81,PAK
JC Buttler ,2011-2023,114,105,21,2927,101*,34.84,2024,144.61,1,22,6,263,123,ENG
DA Warner ,2009-2022,99,99,11,2894,100*,32.88,2048,141.30,1,24,6,295,105,AUS
KS Williamson ,2011-2024,89,87,12,2547,95,33.96,2060,123.64,0,18,4,242,58,NZ
Mohammad Hafeez ,2006-2021,119,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76,PAK
EJG Morgan ,2009-2022,115,107,21,2458,91,28.58,1805,136.17,0,14,3,186,120,ENG
Shoaib Malik ,2006-2021,124,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69,ICC/PAK
Shakib Al Hasan ,2006-2023,117,116,16,2382,84,23.82,1946,122.40,0,12,8,242,50,BAN
Q de Kock ,2012-2023,80,79,9,2277,100,32.52,1658,137.33,1,14,6,235,86,SA
GJ Maxwell ,2012-2023,100,92,15,2275,145*,29.54,1486,153.09,4,10,3,185,115,AUS
DA Miller ,2010-2023,116,101,34,2268,106*,33.85,1569,144.55,2,6,1,150,109,SA/World
KL Rahul ,2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99,IND
SA Yadav ,2021-2023,60,57,10,2141,117,45.55,1248,171.55,4,17,3,192,123,IND
BB McCullum ,2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91,NZ
Mahmudullah ,2007-2022,121,113,23,2122,64*,23.57,1809,117.30,0,6,4,161,64,BAN
A Balbirnie ,2015-2023,98,94,4,2094,83,23.26,1679,124.71,0,10,5,222,60,IRE
AD Hales ,2011-2022,75,75,8,2074,116*,30.95,1499,138.35,1,12,5,225,70,ENG
Mohammad Shahzad ,2010-2023,73,73,3,2048,118*,29.25,1550,132.12,1,12,4,229,76,AFG
RD Berrington ,2008-2023,85,77,15,2032,100,32.77,1534,132.46,1,10,9,176,69,SCOT
Virandeep Singh ,2019-2023,67,66,12,2018,116*,37.37,1583,127.47,1,13,4,171,91,MAL
KJ O'Brien ,2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82,IRE
Mohammad Nabi ,2010-2024,115,107,20,1967,89,22.60,1414,139.10,0,5,6,136,101,AFG
JP Duminy ,2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71,SA
LRPL Taylor ,2006-2020,102,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71,NZ
