Player,Span,Matches,Innings,Balls,Overs,Maidens,Runs,Wickets,Best Bowling Figures,Bowling AVG,Economy,Strike Rate,4 Wickets,5 Wickets,Country
TG Southee ,2008-2024,122,119,2657,442.5,6,3583,157,5/18,22.82,8.09,16.92,2,2,NZ
Shakib Al Hasan ,2006-2023,117,115,2535,422.3,3,2869,140,5/20,20.49,6.79,18.10,5,2,BAN
IS Sodhi ,2014-2024,109,105,2245,374.1,0,2984,132,4/28,22.60,7.97,17.00,3,0,NZ
Rashid Khan ,2015-2023,82,82,1874,312.2,1,1925,130,5/3,14.80,6.16,14.41,4,2,AFG/ICC
SL Malinga ,2006-2020,84,83,1799,299.5,1,2225,107,5/6,20.79,7.42,16.81,1,2,SL
AU Rashid ,2009-2023,104,100,2192,365.2,4,2698,107,4/2,25.21,7.38,20.48,2,0,ENG
MJ Santner ,2015-2024,97,95,2012,335.2,2,2364,106,4/11,22.30,7.04,18.98,3,0,NZ
Mustafizur Rahman ,2015-2023,88,87,1870,311.4,6,2338,105,5/22,22.26,7.50,17.80,3,1,BAN
Shadab Khan ,2017-2023,92,88,1951,325.1,3,2301,104,4/8,22.12,7.07,18.75,3,0,PAK
MR Adair ,2019-2023,74,74,1571,261.5,2,2011,102,4/13,19.71,7.68,15.40,3,0,IRE
S Lamichhane ,2018-2023,52,52,1175,195.5,5,1233,98,5/9,12.58,6.29,11.98,2,1,ICC/NEP
Shahid Afridi ,2006-2018,99,97,2168,361.2,4,2396,98,4/11,24.44,6.63,22.12,3,0,ICC/PAK
SO Ngoche ,2010-2023,81,79,1642,273.4,12,1641,96,4/14,17.09,5.99,17.10,3,0,KENYA
YS Chahal ,2016-2023,80,79,1764,294.0,2,2409,96,6/25,25.09,8.19,18.37,2,1,IND
CJ Jordan ,2014-2023,88,87,1828,304.4,2,2658,96,4/6,27.68,8.72,19.04,3,0,ENG
Bilal Khan ,2015-2023,64,63,1381,230.1,7,1489,92,4/19,16.18,6.46,15.01,3,0,OMA
H Ssenyondo ,2019-2023,73,69,1462,243.4,8,1298,90,4/4,14.42,5.32,16.24,7,0,UGA
Haris Rauf ,2020-2024,66,64,1435,239.1,1,1963,90,4/18,21.81,8.20,15.94,3,0,PAK
B Kumar ,2012-2022,87,86,1791,298.3,10,2079,90,5/4,23.10,6.96,19.90,3,2,IND
Mohammad Nabi ,2010-2024,115,108,2050,341.4,5,2517,88,4/10,28.60,7.36,23.29,3,0,AFG
Umar Gul ,2007-2016,60,60,1203,200.3,2,1443,85,5/6,16.97,7.19,14.15,4,2,PAK
Saeed Ajmal ,2009-2015,64,63,1430,238.2,2,1516,85,4/19,17.83,6.36,16.82,4,0,PAK
